# Variant ID	Location	Variant type	Gene	Molecular consequences	Most 
rs761448939	943995	single nucleotide variant	NOC2L and 5 more	,missense variant,nonsense (stop gained),500B downstream variant,	pathogenic				
rs760780770	94015742	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			C=1.78225e-05	
rs1195430987	94015743	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs121909206	94015766	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				15192030,18285826
rs1057520212	94015769	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs2523672443	94015791	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61753026	94015803	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs1659719374	94015808	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61753025	94015809	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs765563320	94015853	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			G=1.02249e-05	
rs1659795266	94018366	single nucleotide variant	ABCA4 and 1 more	intron variant	pathogenic				
rs778234759	94018445	single nucleotide variant	ABCA4 and 2 more	intron variant	pathogenic				
rs886044749	94018526	single nucleotide variant	ABCA4 and 1 more	intron variant	pathogenic				23918662,25283059,28118664
rs61751405	94019580	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				9054934,9973280,25525159,28118664
rs61751377	94019581	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic			T=6.01709e-05	9295268,16103129,25097241,25525159,26161775,28118664
rs2101020591	94019588	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs886044747	94019589	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				28118664
rs61750567	94019592	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs1557767754	94019606	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1437993640	94019609	single nucleotide variant	ABCA4 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs374343397	94019641	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			T=4.36215e-05	28118664
rs61753021	94019664	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			T=7.7581e-05	10958763,28118664
rs771038310	94019665	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			A=3.85089e-05	
rs1659842921	94019694	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs1659843366	94019708	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs1333985048	94019709	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs61753020	94019713	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			G=9.25497e-06	10958763,28118664
rs749943475	94019723	single nucleotide variant	ABCA4 and 3 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic			A=7.55201e-05	
rs1553188588	94021235	single nucleotide variant	ABCA4 and 1 more	intron variant	pathogenic				
rs61750562	94021238	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				19074458,25525159,28118664
rs2523692309	94021239	single nucleotide variant	ABCA4 and 1 more	splice donor variant	pathogenic				
rs773880325	94021262	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs886044746	94021279	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				28118664
rs1211325812	94021280	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs61750561	94021302	single nucleotide variant	ABCA4 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs61750560	94021304	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs61751403	94021339	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			T=5.76616e-05	10711710,11527935,19074458,23755871,26103963,28118664
rs61751404	94021340	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			A=8.23764e-06	9781034,11687513,25082885,26872967,28118664
rs972980821	94021384	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs1085307968	94021385	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs2101023129	94021386	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs61752439	94021404	single nucleotide variant	ABCA4 and 3 more	,missense variant,nonsense (stop gained)	pathogenic				
rs786205446	94021406	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				25741868
rs1659893621	94021409	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs61750156	94021410	single nucleotide variant	ABCA4 and 2 more	splice acceptor variant	pathogenic			T=4.12861e-05	
rs1659893796	94021411	single nucleotide variant	ABCA4 and 1 more	splice acceptor variant	pathogenic				
rs1659900155	94021638	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs1659900228	94021639	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs61750155	94021695	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			T=2.63917e-05	10958761,19074458,20696155,22025579,23105016,25525159,26103963,28118664,35046417
rs2101023641	94021715	single nucleotide variant	ABCA4 and 2 more	splice acceptor variant	pathogenic				
rs61750154	94021716	single nucleotide variant	ABCA4 and 2 more	splice acceptor variant	pathogenic				
rs759672616	94021843	single nucleotide variant	ABCA4 and 1 more	intron variant	pathogenic			C=0.000115582	22229821,23443024,23918662,28118664
rs61751376	94021845	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic				
rs751844313	94021846	single nucleotide variant	ABCA4 and 3 more	,synonymous variant	pathogenic			A=1.65106e-05	
rs1571258380	94021857	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61750153	94021871	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			G=8.24171e-06	
rs1282472315	94021899	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs1762111	94021934	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic	G=0.000399361		G=0.00130456	9295268,10958763,11726554,22661472,23143460,23953153,25087612,28118664
rs1659914762	94021948	single nucleotide variant	ABCA4 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs1439783011	94021952	single nucleotide variant	ABCA4 and 3 more	splice acceptor variant	pathogenic				
rs1659914923	94021953	single nucleotide variant	ABCA4 and 1 more	splice acceptor variant	pathogenic				
rs751319688	94023385	single nucleotide variant	ABCA4 and 1 more	splice donor variant	pathogenic			T=1.0008e-05	
rs1385119665	94023386	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs1340746441	94023400	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1659954135	94023414	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1131691612	94023416	single nucleotide variant	ABCA4 and 3 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1557770154	94024990	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs62642574	94024994	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic			T=9.06051e-05	9973280,19217903,28118664
rs61750152	94025011	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic			A=3.29473e-05	26872967
rs1553188916	94025021	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs2523707283	94025036	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs2523707333	94025042	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs61752435	94025050	single nucleotide variant	ABCA4 and 3 more	splice acceptor variant	pathogenic				23757202
rs869320785	94027417	single nucleotide variant	ABCA4 and 1 more	intron variant	pathogenic				23918662,26527198,28118664
rs1457937638	94027444	single nucleotide variant	ABCA4 and 2 more	intron variant	pathogenic				
rs1660080565	94027716	single nucleotide variant	ABCA4 and 2 more	intron variant	pathogenic				
rs1660092575	94028339	single nucleotide variant	ABCA4 and 1 more	intron variant	pathogenic				
rs2523718258	94028345	single nucleotide variant	ABCA4 and 1 more	intron variant	pathogenic				
rs61751388	94029444	single nucleotide variant	ABCA4 and 1 more	splice donor variant	pathogenic				9466990
rs281865402	94029446	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs886046564	94029452	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic				
rs568792949	94029465	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic	T=0.000199681			23499370,28118664
rs61750149	94029478	single nucleotide variant	ABCA4 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic			A=3.43124e-05	
rs1660137001	94029479	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs888059763	94029483	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs61751402	94029515	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			T=0.000199614	9973280,11017087,16103129,23695285,24713488,25082885,25097241,25472526,26872967,28118664
rs61750147	94029521	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			A=1.4534e-05	10958763,28118664
rs61750146	94029522	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			G=1.42045e-05	9973280,11017087,24713488,28118664
rs61750145	94029527	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			A=0.000142531	9973280,25412400,28118664,37588055
rs1660139846	94029547	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs61752434	94029548	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs794727531	94029555	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs2101033677	94029561	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs2523723325	94029570	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1347261858	94029601	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs753984595	94029603	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			G=8.75274e-06	
rs758835368	94029621	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			G=1.82692e-05	
rs192656357	94029625	single nucleotide variant	ABCA4 and 3 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs886044742	94029630	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				28118664
rs61750144	94029632	single nucleotide variant	ABCA4 and 2 more	splice acceptor variant	pathogenic				
rs1478038032	94030367	single nucleotide variant	ABCA4 and 3 more	intron variant	pathogenic				
rs200967229	94030427	single nucleotide variant	ABCA4 and 2 more	splice donor variant	pathogenic	T=0.000199681		T=8.2462e-06	20029649,25525159,28118664
rs61750142	94030452	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic			T=2.47198e-05	10958763,28118664
rs533422156	94030453	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic	A=0.000199681			
rs762150575	94030454	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			T=2.47186e-05	
rs61750140	94030464	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			T=8.239e-06	
rs1046550021	94030468	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs1283350532	94030471	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs778456901	94030511	single nucleotide variant	ABCA4 and 2 more	,synonymous variant	pathogenic			A=8.23845e-06	
rs886044740	94030527	single nucleotide variant	ABCA4 and 2 more	splice acceptor variant	pathogenic				28118664
rs61750138	94030991	single nucleotide variant	ABCA4 and 3 more	intron variant	pathogenic			A=8.27828e-06	10958763,25525159,28118664
rs61754044	94030992	single nucleotide variant	ABCA4 and 2 more	intron variant	pathogenic			A=1.6556e-05	
rs2101035684	94031012	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs61750137	94031015	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				10090887,24713488,25283059,25525159,25640233,26103963,28118664
rs61750134	94031026	single nucleotide variant	ABCA4 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs61750135	94031027	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			G=8.27144e-06	9973280,11017087,11687513,25082885,26872967,28118664
rs1660186858	94031032	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic				
rs61750133	94031033	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs61750132	94031049	single nucleotide variant	ABCA4 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs62642573	94031054	single nucleotide variant	ABCA4 and 3 more	,missense variant,nonsense (stop gained)	pathogenic				10958763,23424971,26161775,28118664
rs1045163391	94031072	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs61750131	94031086	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			G=8.33764e-06	
rs61750130	94031110	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			A=0.000201217	10396622,16682602,23757202,25741868,33500538
rs2101036750	94031777	single nucleotide variant	ABCA4 and 1 more	splice donor variant	pathogenic				
rs1064797113	94031778	single nucleotide variant	ABCA4 and 2 more	,missense variant,synonymous variant	pathogenic				
rs761163530	94031803	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic			T=8.25137e-06	
rs1183074086	94031804	single nucleotide variant	ABCA4 and 2 more	,missense variant	pathogenic				
rs552517556	94031836	single nucleotide variant	ABCA4 and 3 more	,missense variant	pathogenic	C=0.000199681		C=8.24008e-06	
rs754899711	94031837	single nucleotide variant	ABCA4 and 1 more	,missense variant	pathogenic			T=3.29592e-05	
rs2101036893	94031849	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs61752428	94031912	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
rs1660216799	94031918	single nucleotide variant	ABCA4 and 1 more	,nonsense (stop gained)	pathogenic				
